[2021-01-15 13:48:14,463::INFO::/home/mitchellkrog/.conda/envs/diffcheck/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID220164:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-01-15 14:04:04,189::INFO::/home/mitchellkrog/.conda/envs/diffcheck/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID338482:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-01-16 10:25:21,637::INFO::/home/mitchellkrog/.conda/envs/diffcheck/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID918448:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-03-17 14:47:17,256::INFO::/home/mitchellkrog/.conda/envs/diffcheck/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID5197:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-11-20 07:10:52,699::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID1248003:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-11-20 07:10:53,706::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID1248011:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-11-20 07:17:03,845::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID1249319:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-11-20 07:17:04,875::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID1249327:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-12-01 08:38:22,757::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID8311:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-12-01 08:38:23,752::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.9/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID8544:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-12-01 08:40:57,824::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.10/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID9962:MainProcess): DNS Server not explicitly given, providing the systemwide one.
[2021-12-01 08:40:58,747::INFO::/home/mitchellkrog/.conda/envs/phishing-links/lib/python3.10/site-packages/PyFunceble/lookup/dns.py:120@__get_resolver](PID9970:MainProcess): DNS Server not explicitly given, providing the systemwide one.
